state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Oklahoma,Jim Inhofe,Republican,"1994, 1996, 2002, 2008",Incumbent re-elected.,Matt Silverstein,Democratic,28.6,False,R+19,56.7%,,general
Oklahoma,Jim Inhofe,Republican,"1994, 1996, 2002, 2008",Incumbent re-elected.,Joan Farr,Independent,1.3,False,R+19,56.7%,,general
Oklahoma,Jim Inhofe,Republican,"1994, 1996, 2002, 2008",Incumbent re-elected.,Ray Woods,Independent,1.2,False,R+19,56.7%,https://en.wikipedia.org/wiki/Ray_Woods,general
Oklahoma,Jim Inhofe,Republican,"1994, 1996, 2002, 2008",Incumbent re-elected.,Aaron DeLozier,Independent,0.9,False,R+19,56.7%,,general
Oregon,Jeff Merkley,Democratic,2008,Incumbent re-elected.,Jeff Merkley,Democratic,55.7,True,D+5,48.9%,https://en.wikipedia.org/wiki/Jeff_Merkley,general
Oregon,Jeff Merkley,Democratic,2008,Incumbent re-elected.,Monica Wehby,Republican,36.9,False,D+5,48.9%,https://en.wikipedia.org/wiki/Monica_Wehby,general
Oregon,Jeff Merkley,Democratic,2008,Incumbent re-elected.,Mike Montchalin,Libertarian,3.1,False,D+5,48.9%,,general
Oregon,Jeff Merkley,Democratic,2008,Incumbent re-elected.,Christina Jean Lugo,Pacific Green,2.2,False,D+5,48.9%,,general
Oregon,Jeff Merkley,Democratic,2008,Incumbent re-elected.,James E. Leuenberger,Constitution,1.7,False,D+5,48.9%,,general
Rhode Island,Jack Reed,Democratic,"1996, 2002, 2008",Incumbent re-elected.,Jack Reed,Democratic,70.6,True,D+11,73.4%,https://en.wikipedia.org/wiki/Jack_Reed_(Rhode_Island_politician),general
Rhode Island,Jack Reed,Democratic,"1996, 2002, 2008",Incumbent re-elected.,Mark Zaccaria,Republican,29.2,False,D+11,73.4%,,general
South Carolina,Lindsey Graham,Republican,"2002, 2008",Incumbent re-elected.,Lindsey Graham,Republican,54.3,True,R+8,57.5%,https://en.wikipedia.org/wiki/Lindsey_Graham,general
South Carolina,Lindsey Graham,Republican,"2002, 2008",Incumbent re-elected.,Brad Hutto,Democratic,38.8,False,R+8,57.5%,https://en.wikipedia.org/wiki/Brad_Hutto,general
South Carolina,Lindsey Graham,Republican,"2002, 2008",Incumbent re-elected.,Thomas Ravenel,Independent,3.8,False,R+8,57.5%,https://en.wikipedia.org/wiki/Thomas_Ravenel,general
South Carolina,Lindsey Graham,Republican,"2002, 2008",Incumbent re-elected.,Victor Kocher,Libertarian,2.7,False,R+8,57.5%,,general
South Dakota,Tim Johnson,Democratic,"1996, 2002, 2008",Incumbent retired.[31]Republican gain.,Mike Rounds,Republican,50.4,True,R+10,62.5%,https://en.wikipedia.org/wiki/Mike_Rounds,general
South Dakota,Tim Johnson,Democratic,"1996, 2002, 2008",Incumbent retired.[31]Republican gain.,Rick Weiland,Democratic,29.5,False,R+10,62.5%,https://en.wikipedia.org/wiki/Rick_Weiland,general
South Dakota,Tim Johnson,Democratic,"1996, 2002, 2008",Incumbent retired.[31]Republican gain.,Larry Pressler,Independent,17.1,False,R+10,62.5%,https://en.wikipedia.org/wiki/Larry_Pressler,general
South Dakota,Tim Johnson,Democratic,"1996, 2002, 2008",Incumbent retired.[31]Republican gain.,Gordon Howie,Independent,3.0,False,R+10,62.5%,https://en.wikipedia.org/wiki/Gordon_Howie,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Lamar Alexander,Republican,61.9,True,R+12,65.14%,https://en.wikipedia.org/wiki/Lamar_Alexander,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Gordon Ball,Democratic,31.9,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Joe B. Wilmoth,Constitution,2.6,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Martin Pleasant,Green,0.9,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Tom Emerson Jr.,Independent,0.8,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Danny Page,Independent,0.6,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Rick Tyler,Independent,0.4,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Joshua James,Independent,0.4,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Bartholomew J. Phillips,Independent,0.2,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Edmund L. Gauthier,Independent,0.2,False,R+12,65.14%,,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Eric Schechter,Independent,0.1,False,R+12,65.14%,https://en.wikipedia.org/wiki/Eric_Schechter,general
Tennessee,Lamar Alexander,Republican,"2002, 2008",Incumbent re-elected.,Choudhury Salekin,Independent,0.1,False,R+12,65.14%,,general
Texas,John Cornyn,Republican,"2002, 2002, (appointed), 2008",Incumbent re-elected.,John Cornyn,Republican,61.6,True,R+10,54.8%,https://en.wikipedia.org/wiki/John_Cornyn,general
Texas,John Cornyn,Republican,"2002, 2002, (appointed), 2008",Incumbent re-elected.,David Alameel,Democratic,34.4,False,R+10,54.8%,https://en.wikipedia.org/wiki/David_Alameel,general
Texas,John Cornyn,Republican,"2002, 2002, (appointed), 2008",Incumbent re-elected.,Rebecca Paddock,Libertarian,2.9,False,R+10,54.8%,,general
Texas,John Cornyn,Republican,"2002, 2002, (appointed), 2008",Incumbent re-elected.,Emily Marie Sanchez,Green,1.2,False,R+10,54.8%,,general
Virginia,Mark Warner,Democratic,2008,Incumbent re-elected.,Mark Warner,Democratic,49.1,True,EVEN,65.0%,https://en.wikipedia.org/wiki/Mark_Warner,general
Virginia,Mark Warner,Democratic,2008,Incumbent re-elected.,Ed Gillespie,Republican,48.3,False,EVEN,65.0%,https://en.wikipedia.org/wiki/Ed_Gillespie,general
Virginia,Mark Warner,Democratic,2008,Incumbent re-elected.,Robert Sarvis,Libertarian,2.4,False,EVEN,65.0%,https://en.wikipedia.org/wiki/Robert_Sarvis,general
West Virginia,Jay Rockefeller,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[33]Republican gain.,Shelley Moore Capito,Republican,62.1,True,R+13,63.7%,https://en.wikipedia.org/wiki/Shelley_Moore_Capito,general
West Virginia,Jay Rockefeller,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[33]Republican gain.,Natalie Tennant,Democratic,34.5,False,R+13,63.7%,https://en.wikipedia.org/wiki/Natalie_Tennant,general
West Virginia,Jay Rockefeller,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[33]Republican gain.,John S. Buckley,Libertarian,1.6,False,R+13,63.7%,,general
West Virginia,Jay Rockefeller,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[33]Republican gain.,Bob Henry Baber,Mountain,1.2,False,R+13,63.7%,,general
West Virginia,Jay Rockefeller,Democratic,"1984, 1990, 1996, 2002, 2008",Incumbent retired.[33]Republican gain.,Phil Hudok,Constitution,0.6,False,R+13,63.7%,,general
Wyoming,Mike Enzi,Republican,"1996, 2002, 2008",Incumbent re-elected.,Mike Enzi,Republican,71.2,True,R+22,75.6%,https://en.wikipedia.org/wiki/Mike_Enzi,general
Wyoming,Mike Enzi,Republican,"1996, 2002, 2008",Incumbent re-elected.,Charlie Hardy,Democratic,17.4,False,R+22,75.6%,,general
Wyoming,Mike Enzi,Republican,"1996, 2002, 2008",Incumbent re-elected.,Curt Gottshall,Independent,7.9,False,R+22,75.6%,,general
Wyoming,Mike Enzi,Republican,"1996, 2002, 2008",Incumbent re-elected.,Joe Porambo,Libertarian,2.2,False,R+22,75.6%,,general
